iter	Passed	Remaining
0	3	1626
1	6	1525
2	9	1499
3	12	1500
4	15	1497
5	17	1472
6	20	1469
7	23	1464
8	26	1464
9	29	1468
10	32	1457
11	35	1457
12	38	1452
13	41	1451
14	44	1450
15	47	1445
16	50	1444
17	54	1452
18	57	1448
19	60	1443
20	63	1439
21	66	1434
22	68	1429
23	71	1422
24	74	1412
25	77	1407
26	80	1401
27	82	1398
28	85	1393
29	88	1386
30	91	1382
31	94	1377
32	96	1372
33	99	1368
34	102	1365
35	105	1361
36	108	1358
37	111	1354
38	114	1351
39	117	1347
40	119	1342
41	122	1338
42	125	1334
43	128	1330
44	131	1326
45	133	1320
46	136	1317
47	139	1314
48	142	1311
49	145	1307
50	148	1305
51	151	1300
52	154	1299
53	157	1298
54	159	1293
55	162	1288
56	165	1283
57	167	1277
58	170	1271
59	172	1267
60	175	1266
61	178	1262
62	181	1258
63	184	1254
64	186	1250
65	189	1248
66	192	1245
67	195	1241
68	198	1237
69	200	1232
70	203	1228
71	205	1224
72	208	1221
73	211	1217
74	214	1213
75	216	1208
76	219	1205
77	222	1201
78	224	1197
79	227	1193
80	230	1190
81	232	1187
82	235	1184
83	238	1180
84	241	1177
85	243	1173
86	246	1170
87	249	1166
88	251	1162
89	254	1159
90	257	1156
91	260	1154
92	263	1153
93	266	1150
94	269	1148
95	272	1145
96	275	1142
97	277	1139
98	280	1136
99	283	1132
100	286	1131
101	289	1128
102	291	1125
103	294	1122
104	297	1118
105	299	1114
106	301	1108
107	304	1104
108	306	1099
109	309	1096
110	311	1091
111	313	1087
112	316	1083
113	318	1078
114	320	1073
115	323	1070
116	325	1065
117	327	1061
118	330	1057
119	332	1053
120	334	1048
121	337	1044
122	340	1042
123	342	1039
124	345	1035
125	347	1032
126	350	1029
127	353	1026
128	356	1025
129	359	1021
130	361	1018
131	364	1015
132	366	1012
133	369	1008
134	371	1004
135	373	1000
136	376	996
137	378	992
138	380	988
139	382	984
140	385	980
141	387	976
142	389	971
143	391	967
144	393	963
145	395	959
146	398	955
147	400	951
148	402	947
149	404	943
150	406	939
151	408	935
152	410	931
153	412	927
154	415	924
155	417	921
156	419	917
157	422	913
158	424	910
159	426	906
160	429	903
161	431	900
162	433	897
163	436	893
164	438	890
165	440	886
166	443	883
167	445	880
168	447	876
169	449	872
170	451	869
171	453	865
172	455	861
173	457	858
174	460	854
175	462	851
176	464	847
177	466	843
178	468	840
179	470	836
180	472	832
181	474	828
182	476	825
183	478	821
184	480	817
185	482	814
186	484	810
187	486	807
188	488	803
189	490	799
190	492	796
191	494	792
192	496	790
193	498	786
194	501	783
195	503	781
196	506	778
197	508	775
198	511	773
199	513	770
200	516	767
201	518	764
202	520	761
203	522	758
204	525	755
205	527	752
206	529	749
207	532	747
208	534	744
209	537	742
210	540	740
211	543	737
212	545	735
213	548	733
214	551	730
215	553	728
216	556	725
217	558	722
218	561	720
219	563	717
220	566	714
221	568	711
222	571	709
223	573	706
224	576	704
225	578	701
226	581	699
227	583	696
228	586	694
229	588	691
230	591	688
231	593	685
232	595	682
233	597	679
234	599	676
235	601	673
236	604	670
237	606	667
238	608	664
239	610	661
240	613	658
241	615	655
242	617	652
243	619	650
244	621	647
245	623	644
246	625	640
247	627	637
248	629	634
249	631	631
250	633	628
251	635	625
252	637	622
253	639	619
254	641	616
255	643	613
256	645	610
257	647	607
258	650	604
259	652	602
260	654	599
261	656	596
262	658	593
263	660	590
264	662	587
265	664	584
266	666	581
267	668	578
268	670	575
269	672	572
270	674	570
271	676	567
272	678	564
273	680	561
274	682	558
275	684	555
276	686	552
277	688	549
278	690	546
279	692	544
280	694	541
281	696	538
282	698	535
283	700	532
284	702	529
285	704	527
286	706	524
287	708	521
288	710	518
289	712	515
290	714	513
291	716	510
292	718	507
293	720	504
294	722	502
295	724	499
296	726	496
297	728	494
298	730	491
299	732	488
300	734	485
301	737	483
302	739	480
303	741	477
304	743	475
305	745	472
306	747	469
307	749	467
308	751	464
309	753	461
310	755	459
311	757	456
312	760	454
313	762	451
314	765	449
315	767	447
316	770	444
317	772	442
318	774	439
319	776	437
320	779	434
321	782	432
322	784	430
323	787	427
324	789	424
325	791	422
326	794	420
327	796	417
328	799	415
329	802	413
330	805	411
331	808	409
332	811	406
333	814	404
334	817	402
335	820	400
336	822	398
337	825	395
338	828	393
339	831	391
340	834	389
341	837	386
342	840	384
343	843	382
344	846	380
345	848	377
346	850	375
347	853	372
348	856	370
349	859	368
350	861	365
351	864	363
352	866	360
353	869	358
354	872	356
355	875	353
356	877	351
357	879	349
358	882	346
359	884	343
360	886	341
361	889	339
362	892	336
363	894	334
364	897	331
365	899	329
366	901	326
367	904	324
368	907	322
369	909	319
370	911	317
371	914	314
372	916	312
373	919	309
374	922	307
375	924	304
376	926	302
377	928	299
378	931	297
379	933	294
380	936	292
381	939	290
382	941	287
383	943	285
384	946	282
385	949	280
386	951	277
387	954	275
388	956	273
389	959	270
390	961	268
391	963	265
392	966	263
393	969	260
394	971	258
395	974	255
396	976	253
397	978	250
398	981	248
399	983	245
400	985	243
401	988	240
402	990	238
403	993	235
404	995	233
405	998	231
406	1000	228
407	1003	226
408	1005	223
409	1008	221
410	1010	218
411	1013	216
412	1015	213
413	1017	211
414	1020	208
415	1022	206
416	1024	203
417	1027	201
418	1029	199
419	1031	196
420	1034	194
421	1036	191
422	1038	189
423	1040	186
424	1043	184
425	1045	181
426	1047	179
427	1050	176
428	1052	174
429	1053	171
430	1056	169
431	1058	166
432	1061	164
433	1063	161
434	1065	159
435	1067	156
436	1070	154
437	1072	151
438	1075	149
439	1077	146
440	1080	144
441	1082	142
442	1085	139
443	1087	137
444	1090	134
445	1093	132
446	1095	129
447	1098	127
448	1100	125
449	1103	122
450	1105	120
451	1108	117
452	1110	115
453	1112	112
454	1115	110
455	1117	107
456	1118	105
457	1120	102
458	1123	100
459	1125	97
460	1128	95
461	1130	93
462	1133	90
463	1135	88
464	1137	85
465	1140	83
466	1143	80
467	1145	78
468	1148	75
469	1150	73
470	1152	70
471	1155	68
472	1158	66
473	1160	63
474	1163	61
475	1165	58
476	1167	56
477	1170	53
478	1172	51
479	1175	48
480	1177	46
481	1180	44
482	1182	41
483	1184	39
484	1187	36
485	1189	34
486	1192	31
487	1194	29
488	1196	26
489	1199	24
490	1201	22
491	1204	19
492	1207	17
493	1209	14
494	1212	12
495	1214	9
496	1216	7
497	1219	4
498	1221	2
499	1224	0
